Date,Close
1/2/2020,45.74
1/3/2020,45.49
1/6/2020,45.55
1/7/2020,45.5
1/8/2020,45.67
1/9/2020,45.94
1/10/2020,45.86
1/13/2020,46.26
1/14/2020,46.26
1/15/2020,46.31
1/16/2020,46.52
1/17/2020,46.76
1/21/2020,46.57
1/22/2020,46.69
1/23/2020,46.56
1/24/2020,46.3
1/27/2020,45.33
1/28/2020,45.8
1/29/2020,45.98
1/30/2020,45.98
1/31/2020,45.29
2/3/2020,45.86
2/4/2020,46.82
2/5/2020,46.85
2/6/2020,47.08
2/7/2020,46.83
2/10/2020,47.07
2/11/2020,47.31
2/12/2020,47.52
2/13/2020,47.51
2/14/2020,47.64
2/18/2020,47.55
2/19/2020,47.94
2/20/2020,47.55
2/21/2020,47.1
2/24/2020,45.3
2/25/2020,44.18
2/26/2020,44.2
2/27/2020,42.5
2/28/2020,42.35
3/2/2020,43.73
3/3/2020,42.93
3/4/2020,44.41
3/5/2020,43.08
3/6/2020,42.26
3/9/2020,39.13
3/10/2020,40.78
3/11/2020,38.79
3/12/2020,35.08
3/13/2020,37.65
3/16/2020,33.37
3/17/2020,34.67
3/18/2020,32.73
3/19/2020,33.27
3/20/2020,32.87
3/23/2020,32.43
3/24/2020,35.02
3/25/2020,35.86
3/26/2020,37.6
3/27/2020,36.3
3/30/2020,37.14
3/31/2020,36.91
4/1/2020,35.35
4/2/2020,35.87
4/3/2020,35.41
4/6/2020,37.53
4/7/2020,37.62
4/8/2020,38.37
4/9/2020,38.91
4/13/2020,38.77
4/14/2020,39.96
4/15/2020,39.24
4/16/2020,39.52
4/17/2020,40.59
4/20/2020,40.21
4/21/2020,39.02
4/22/2020,39.88
4/23/2020,39.89
4/24/2020,40.18
4/27/2020,40.72
4/28/2020,40.41
4/29/2020,41.4
4/30/2020,41.21
5/1/2020,40.19
5/4/2020,40.4
5/5/2020,40.84
5/6/2020,40.79
5/7/2020,41.46
5/8/2020,41.99
5/11/2020,42.06
5/12/2020,41.38
5/13/2020,40.98
5/14/2020,41.1
5/15/2020,41.25
5/18/2020,42.29
5/19/2020,42.09
5/20/2020,42.9
5/21/2020,42.56
5/22/2020,42.55
5/26/2020,43.01
5/27/2020,43.17
5/28/2020,43.39
5/29/2020,43.64
6/1/2020,44.16
