Date,Close
1/2/2020,47.8
1/3/2020,47.58
1/6/2020,47.65
1/7/2020,47.44
1/8/2020,47.56
1/9/2020,47.76
1/10/2020,47.53
1/13/2020,47.73
1/14/2020,47.79
1/15/2020,47.95
1/16/2020,48.35
1/17/2020,48.49
1/21/2020,48.25
1/22/2020,48.26
1/23/2020,48.34
1/24/2020,48.03
1/27/2020,47.21
1/28/2020,47.65
1/29/2020,47.64
1/30/2020,47.75
1/31/2020,46.81
2/3/2020,46.97
2/4/2020,47.6
2/5/2020,48.34
2/6/2020,48.42
2/7/2020,48.14
2/10/2020,48.43
2/11/2020,48.55
2/12/2020,48.89
2/13/2020,48.78
2/14/2020,48.82
2/18/2020,48.65
2/19/2020,48.84
2/20/2020,48.59
2/21/2020,48.2
2/24/2020,46.63
2/25/2020,45.2
2/26/2020,45.06
2/27/2020,43.2
2/28/2020,42.71
3/2/2020,44.55
3/3/2020,43.44
3/4/2020,45.36
3/5/2020,43.9
3/6/2020,43.19
3/9/2020,39.74
3/10/2020,41.54
3/11/2020,39.54
3/12/2020,35.81
3/13/2020,38.89
3/16/2020,34.05
3/17/2020,36.05
3/18/2020,33.68
3/19/2020,34.01
3/20/2020,32.83
3/23/2020,31.82
3/24/2020,34.58
3/25/2020,35.34
3/26/2020,37.76
3/27/2020,36.47
3/30/2020,37.62
3/31/2020,37.03
4/1/2020,35.5
4/2/2020,36.37
4/3/2020,35.96
4/6/2020,38.26
4/7/2020,38.21
4/8/2020,39.47
4/9/2020,40.01
4/13/2020,39.51
4/14/2020,40.52
4/15/2020,39.62
4/16/2020,39.91
4/17/2020,41.04
4/20/2020,40.18
4/21/2020,39.04
4/22/2020,39.88
4/23/2020,39.82
4/24/2020,40.36
4/27/2020,41.03
4/28/2020,40.9
4/29/2020,41.84
4/30/2020,41.33
5/1/2020,40.26
5/4/2020,40.35
5/5/2020,40.73
5/6/2020,40.34
5/7/2020,40.72
5/8/2020,41.42
5/11/2020,41.36
5/12/2020,40.63
5/13/2020,39.97
5/14/2020,40.45
5/15/2020,40.51
5/18/2020,41.79
5/19/2020,41.29
5/20/2020,41.8
5/21/2020,41.59
5/22/2020,41.66
5/26/2020,42.29
5/27/2020,42.96
5/28/2020,42.93
5/29/2020,43.09
6/1/2020,43.09
6/2/2020,43.47
6/3/2020,44.18
6/4/2020,44.16
6/5/2020,45.21
6/8/2020,45.68
6/9/2020,45.16
6/10/2020,44.79
6/11/2020,42.19
6/12/2020,42.71
6/15/2020,42.95
6/16/2020,43.67
6/17/2020,43.42
6/18/2020,43.4
6/19/2020,43.02
6/22/2020,43.22
6/23/2020,43.29
6/24/2020,42.21
6/25/2020,42.66
6/26/2020,41.82
6/29/2020,42.4
6/30/2020,42.92
7/1/2020,42.98
7/2/2020,43.19
7/6/2020,43.67
7/7/2020,43.12
7/8/2020,43.31
7/9/2020,42.79
7/10/2020,43.25
7/13/2020,43.17
7/14/2020,43.77
7/15/2020,44.2
7/16/2020,44.18
7/17/2020,44.41
7/20/2020,44.37
7/21/2020,44.64
7/22/2020,45.01
7/23/2020,44.66
7/24/2020,44.25
7/27/2020,44.36
7/28/2020,44.23
7/29/2020,44.7
7/30/2020,44.4
7/31/2020,44.31
8/3/2020,44.53
8/4/2020,44.68
8/5/2020,44.9
8/6/2020,45.03
8/7/2020,45.26
8/10/2020,45.51
8/11/2020,45.36
8/12/2020,45.85
8/13/2020,45.65
8/14/2020,45.74
8/17/2020,45.78
8/18/2020,45.67
8/19/2020,45.48
8/20/2020,45.43
8/21/2020,45.44
8/24/2020,45.87
8/25/2020,45.93
8/26/2020,46.05
8/27/2020,46.3
8/28/2020,46.54
8/31/2020,46.31
9/1/2020,46.43
9/2/2020,47.27
9/3/2020,46.03
9/4/2020,45.87
9/8/2020,44.9
9/9/2020,45.66
9/10/2020,44.9
9/11/2020,45.19
9/14/2020,45.75
9/15/2020,45.89
9/16/2020,45.86
9/17/2020,45.66
9/18/2020,45.36
9/21/2020,44.55
9/22/2020,44.78
9/23/2020,43.95
9/24/2020,44.04
9/25/2020,44.6
9/28/2020,45.19
9/29/2020,44.89
9/30/2020,45.22
10/1/2020,45.3
10/2/2020,45.12
10/5/2020,45.83
10/6/2020,45.32
10/7/2020,45.96
10/8/2020,46.44
10/9/2020,46.63
10/12/2020,47.09
10/13/2020,46.82
10/14/2020,46.57
10/15/2020,46.58
10/16/2020,46.75
10/19/2020,46.05
10/20/2020,46.21
10/21/2020,46.07
10/22/2020,46.42
10/23/2020,46.53
10/26/2020,45.62
10/27/2020,45.23
10/28/2020,43.77
10/29/2020,44.05
10/30/2020,43.81
11/2/2020,44.52
11/3/2020,45.34
11/4/2020,46.09
11/5/2020,46.82
11/6/2020,46.68
11/9/2020,47.78
11/10/2020,48.11
11/11/2020,48.19
11/12/2020,47.69
11/13/2020,48.37
11/16/2020,48.92
11/17/2020,48.62
11/18/2020,48.18
11/19/2020,48.27
11/20/2020,48.02
11/23/2020,48.41
11/24/2020,49.24
11/25/2020,49.02
11/27/2020,49.12
11/30/2020,48.69
12/1/2020,49.23
12/2/2020,49.41
12/3/2020,49.43
12/4/2020,50.02
12/7/2020,49.86
12/8/2020,50.02
12/9/2020,49.79
12/10/2020,49.56
12/11/2020,49.44
12/14/2020,49
12/15/2020,49.56
12/16/2020,49.57
